C  NUMMU= 32  NUMAZI=  9  AZIORDER=  8  NSTOKES=2
C  LAYER_FILE=atmos.lay                          DELTA-M=N
C  SRC_CODE=1   QUAD_TYPE=GAUSSIAN        
C  DIRECT_FLUX=0.35209E+01   DIRECT_MU=0.284015
C  GROUND_TEMP=    0.00   GROUND_TYPE=LAMBERTIAN      
C  GROUND_ALBEDO= 0.00000   SKY_TEMP=    0.00
C  WAVELENGTH=0.750000E+00
C  UNITS=WATTS/(M^2 MICRON STER)     OUTPUT_POLARIZATION=IQ
C    Z      PHI     MU    FLUX/RADIANCE (I,Q,U,V)
   0.000 180.0 -0.21742  0.000000E+00  0.000000E+00
   0.000 180.0 -0.16964  0.000000E+00  0.000000E+00
   0.000 180.0 -0.12146  0.000000E+00  0.000000E+00
   0.000 180.0 -0.07299  0.000000E+00  0.000000E+00
   0.000 180.0 -0.02435  0.000000E+00  0.000000E+00
   0.000 180.0  0.02435  0.522668E+00  0.203874E-01
   0.000 180.0  0.07299  0.549249E+00  0.154483E-01
   0.000 180.0  0.12146  0.494075E+00  0.567990E-02
   0.000 180.0  0.16964  0.430447E+00 -0.304897E-02
   0.000 180.0  0.21742  0.373810E+00 -0.997530E-02
   0.000 180.0  0.26469  0.325274E+00 -0.153478E-01
   0.000 180.0  0.31132  0.283877E+00 -0.195971E-01
   0.000 180.0  0.35722  0.248688E+00 -0.231387E-01
   0.000 180.0  0.40227  0.218974E+00 -0.262942E-01
   0.000 180.0  0.44637  0.194090E+00 -0.292615E-01
   0.000 180.0  0.48940  0.173383E+00 -0.321211E-01
   0.000 180.0  0.53128  0.156196E+00 -0.348711E-01
   0.000 180.0  0.57190  0.141906E+00 -0.374728E-01
   0.000 180.0  0.61116  0.129978E+00 -0.398910E-01
   0.000 180.0  0.64897  0.119998E+00 -0.421183E-01
   0.000 180.0  0.68524  0.111668E+00 -0.441774E-01
   0.000 180.0  0.71988  0.104781E+00 -0.461092E-01
   0.000 180.0  0.75282  0.991727E-01 -0.479541E-01
   0.000 180.0  0.78397  0.946940E-01 -0.497357E-01
   0.000 180.0  0.81327  0.911928E-01 -0.514550E-01
   0.000 180.0  0.84063  0.885219E-01 -0.530934E-01
   0.000 180.0  0.86600  0.865578E-01 -0.546230E-01
   0.000 180.0  0.88932  0.852192E-01 -0.560180E-01
   0.000 180.0  0.91052  0.844743E-01 -0.572620E-01
   0.000 180.0  0.92957  0.843332E-01 -0.583504E-01
   0.000 180.0  0.94641  0.848303E-01 -0.592881E-01
   0.000 180.0  0.96101  0.860042E-01 -0.600856E-01
   0.000 180.0  0.97333  0.878849E-01 -0.607548E-01
   0.000 180.0  0.98334  0.904922E-01 -0.613059E-01
   0.000 180.0  0.99101  0.938422E-01 -0.617439E-01
   0.000 180.0  0.99634  0.979544E-01 -0.620613E-01
   0.000 180.0  0.99931  0.102837E+00 -0.622172E-01
